"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Source de revenu";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2020";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6909";"A";"";"";"0"
"2021";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6976";"A";"";"";"0"
"1976";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"154074";"";"";"";"0"
"1977";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"153569";"";"";"";"0"
"1978";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"159186";"";"";"";"0"
"1979";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"162377";"";"";"";"0"
"1980";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"164010";"";"";"";"0"
"1981";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"164454";"";"";"";"0"
"1982";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"162214";"";"";"";"0"
"1983";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"162376";"";"";"";"0"
"1984";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"168699";"";"";"";"0"
"1985";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"171936";"";"";"";"0"
"1986";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"177020";"";"";"";"0"
"1987";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"182148";"";"";"";"0"
"1988";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"184720";"";"";"";"0"
"1989";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"194273";"";"";"";"0"
"1990";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"190141";"";"";"";"0"
"1991";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"187192";"";"";"";"0"
"1992";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"188191";"";"";"";"0"
"1993";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"183935";"A";"";"";"0"
"1994";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"190264";"A";"";"";"0"
"1995";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"190674";"A";"";"";"0"
"1996";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"194519";"A";"";"";"0"
"1997";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"194549";"A";"";"";"0"
"1998";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"206502";"A";"";"";"0"
"1999";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"212877";"A";"";"";"0"
"2000";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"222210";"A";"";"";"0"
"2001";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"229176";"A";"";"";"0"
"2002";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"234690";"A";"";"";"0"
"2003";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"235597";"A";"";"";"0"
"2004";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"243911";"A";"";"";"0"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"243386";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"249259";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"257126";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"257925";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"264276";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Revenu agrégé";"Dollars constants de 2021";"429";"millions";"6";"v107671656";"7.1.1.1.3";"267226";"A";"";"";"0"
